Wban Number, YearMonthDay, Time, Station Type, Maintenance Indicator, Sky Conditions, Visibility, Weather Type, Dry Bulb Temp, Dew Point Temp, Wet Bulb Temp, % Relative Humidity, Wind Speed (kt), Wind Direction, Wind Char. Gusts (kt), Val for Wind Char., Station Pressure, Pressure Tendency, Sea Level Pressure, Record Type, Precip. Total
03011,20070401,1850,AO2 ,-,CLR                                          ,10SM   ,-,50,18,37,28  , 6   ,250,-,0  ,30.10,-,-,AA,-
03011,20070401,1950,AO2 ,-,CLR                                          ,10SM   ,-,46,19,36,34  , 0   ,000,-,0  ,30.12,-,-,AA,-
03011,20070401,2050,AO2 ,-,CLR                                          ,10SM   ,-,45,19,36,35  , 0   ,000,-,0  ,30.13,-,-,AA,-
03011,20070401,2150,AO2 ,-,CLR                                          ,10SM   ,-,43,19,34,38  , 4   ,060,-,0  ,30.14,-,-,AA,-
03011,20070401,2250,AO2 ,-,CLR                                          ,10SM   ,-,43,18,34,37  , 0   ,000,-,0  ,30.12,-,-,AA,-
03011,20070401,2350,AO2 ,-,SCT110                                       ,10SM   ,-,43,18,34,37  , 3   ,030,-,0  ,30.12,-,-,AA,-
03011,20070402,0050,AO2 ,-,OVC110                                       ,10SM   ,-,46,14,36,27  , 3   ,020,-,0  ,30.11,-,-,AA,-
03011,20070402,0150,AO2 ,-,OVC110                                       ,10SM   ,-,45,16,36,31  , 0   ,000,-,0  ,30.11,-,-,AA,-
03011,20070402,0250,AO2 ,-,CLR                                          ,10SM   ,-,46,14,36,27  , 4   ,180,-,0  ,30.10,-,-,AA,-
03011,20070402,0350,AO2 ,-,SCT110                                       ,10SM   ,-,45,14,34,29  , 0   ,000,-,0  ,30.09,-,-,AA,-
03011,20070402,0450,AO2 ,-,BKN100                                       ,10SM   ,-,43,14,34,31  , 0   ,000,-,0  ,30.09,-,-,AA,-
03011,20070402,0550,AO2 ,-,OVC100                                       ,10SM   ,-,41,16,32,36  , 0   ,000,-,0  ,30.10,-,-,AA,-
03011,20070402,0650,AO2 ,-,BKN100 BKN120                                ,10SM   ,-,43,14,34,31  , 0   ,000,-,0  ,30.10,-,-,AA,-
03011,20070402,0750,AO2 ,-,OVC090                                       ,10SM   ,-,45,14,34,29  , 0   ,000,-,0  ,30.11,-,-,AA,-
03011,20070402,0850,AO2 ,-,OVC090                                       ,10SM   ,-,46,14,36,27  , 3   ,190,-,0  ,30.10,-,-,AA,-
03011,20070402,0950,AO2 ,-,OVC100                                       ,10SM   ,-,50,10,36,20  , 7   ,240,G,19 ,30.12,-,-,AA,-
03011,20070402,1050,AO2 ,-,SCT120                                       ,10SM   ,-,52,10,37,18  , 12  ,250,G,21 ,30.12,-,-,AA,-
03011,20070402,1150,AO2 ,-,SCT110                                       ,10SM   ,-,54,12,39,19  , 11  ,260,G,23 ,30.10,-,-,AA,-
03011,20070402,1250,AO2 ,-,CLR                                          ,10SM   ,-,55,12,39,18  , 7   ,270,G,18 ,30.10,-,-,AA,-
03011,20070402,1350,AO2 ,-,CLR                                          ,10SM   ,-,54,12,39,19  , 10  ,200,G,21 ,30.10,-,-,AA,-
03011,20070402,1450,AO2 ,-,CLR                                          ,10SM   ,-,54,12,39,19  , 13  ,230,G,20 ,30.10,-,-,AA,-
03011,20070402,1550,AO2 ,-,CLR                                          ,10SM   ,-,54,12,39,19  , 12  ,230,G,21 ,30.10,-,-,AA,-
03011,20070402,1650,AO2 ,-,CLR                                          ,10SM   ,-,52,12,37,20  , 14  ,220,G,19 ,30.12,-,-,AA,-
03011,20070402,1750,AO2 ,-,CLR                                          ,10SM   ,-,52,12,37,20  , 6   ,230,-,0  ,30.13,-,-,AA,-
03011,20070402,1850,AO2 ,-,SCT095                                       ,10SM   ,-,50,12,37,22  , 6   ,210,-,0  ,30.14,-,-,AA,-
03011,20070402,1950,AO2 ,-,SCT090                                       ,10SM   ,-,50,12,37,22  , 6   ,260,-,0  ,30.16,-,-,AA,-
03011,20070402,2050,AO2 ,-,SCT090                                       ,10SM   ,-,45,14,34,29  , 0   ,000,-,0  ,30.18,-,-,AA,-
03011,20070402,2150,AO2 ,-,OVC090                                       ,10SM   ,-,45,18,36,34  , 6   ,140,-,0  ,30.18,-,-,AA,-
03011,20070402,2250,AO2 ,-,SCT090                                       ,10SM   ,-,45,18,36,34  , 0   ,000,-,0  ,30.19,-,-,AA,-
03011,20070402,2350,AO2 ,-,SCT100                                       ,10SM   ,-,43,16,34,34  , 3   ,140,-,0  ,30.20,-,-,AA,-
03011,20070403,0050,AO2 ,-,CLR                                          ,10SM   ,-,41,19,34,41  , 6   ,140,-,0  ,30.21,-,-,AA,-
03011,20070403,0150,AO2 ,-,CLR                                          ,10SM   ,-,37,19,30,48  , 5   ,150,-,0  ,30.23,-,-,AA,-
03011,20070403,0250,AO2 ,-,CLR                                          ,10SM   ,-,36,19,30,50  , 6   ,150,-,0  ,30.23,-,-,AA,-
03011,20070403,0350,AO2 ,-,CLR                                          ,10SM   ,-,36,19,30,50  , 5   ,150,-,0  ,30.23,-,-,AA,-
03011,20070403,0450,AO2 ,-,CLR                                          ,10SM   ,-,36,18,30,48  , 5   ,140,-,0  ,30.24,-,-,AA,-
03011,20070403,0550,AO2 ,-,CLR                                          ,10SM   ,-,34,18,28,52  , 4   ,120,-,0  ,30.26,-,-,AA,-
03011,20070403,0650,AO2 ,-,CLR                                          ,7SM    ,-,36,19,30,50  , 4   ,140,-,0  ,30.28,-,-,AA,-
03011,20070403,0750,AO2 ,-,CLR                                          ,10SM   ,-,41,18,34,40  , 0   ,000,-,0  ,30.28,-,-,AA,-
03011,20070403,0850,AO2 ,-,CLR                                          ,10SM   ,-,48,18,37,30  , 3   ,090,-,0  ,30.28,-,-,AA,-
03011,20070403,0950,AO2 ,-,CLR                                          ,10SM   ,-,52,9,37,18  , 7   ,290,G,14 ,30.29,-,-,AA,-
03011,20070403,1050,AO2 ,-,CLR                                          ,10SM   ,-,54,7,37,15  , 11  ,290,G,17 ,30.30,-,-,AA,-
03011,20070403,1150,AO2 ,-,CLR                                          ,10SM   ,-,55,0,37,10  , 7   ,310,G,16 ,30.29,-,-,AA,-
03011,20070403,1250,AO2 ,-,CLR                                          ,10SM   ,-,55,1,37,11  , 9   ,290,G,18 ,30.29,-,-,AA,-
03011,20070403,1350,AO2 ,-,CLR                                          ,10SM   ,-,55,0,37,10  , 7   ,290,G,18 ,30.28,-,-,AA,-
03011,20070403,1450,AO2 ,-,CLR                                          ,10SM   ,-,57,1,39,10  , 8   ,260,G,17 ,30.29,-,-,AA,-
03011,20070403,1550,AO2 ,-,CLR                                          ,10SM   ,-,55,0,37,10  , 7   ,270,G,18 ,30.29,-,-,AA,-
03011,20070403,1650,AO2 ,-,CLR                                          ,10SM   ,-,55,1,37,11  , 6   ,290,G,17 ,30.29,-,-,AA,-
03011,20070403,1750,AO2 ,-,CLR                                          ,10SM   ,-,54,0,37,11  , 4   ,300,-,0  ,30.30,-,-,AA,-
03011,20070403,1850,AO2 ,-,CLR                                          ,10SM   ,-,52,3,36,13  , 7   ,290,-,0  ,30.31,-,-,AA,-
03011,20070403,1950,AO2 ,-,CLR                                          ,10SM   ,-,48,9,36,20  , 0   ,000,-,0  ,30.34,-,-,AA,-
03011,20070403,2050,AO2 ,-,CLR                                          ,10SM   ,-,45,12,34,26  , 4   ,130,-,0  ,30.36,-,-,AA,-
03011,20070403,2150,AO2 ,-,CLR                                          ,10SM   ,-,41,14,32,33  , 4   ,140,-,0  ,30.37,-,-,AA,-
03011,20070403,2250,AO2 ,-,CLR                                          ,10SM   ,-,41,14,32,33  , 7   ,140,-,0  ,30.37,-,-,AA,-
03011,20070403,2350,AO2 ,-,CLR                                          ,10SM   ,-,37,16,30,42  , 5   ,150,-,0  ,30.37,-,-,AA,-
03011,20070404,0050,AO2 ,-,CLR                                          ,10SM   ,-,39,16,30,39  , 4   ,150,-,0  ,30.36,-,-,AA,-
03011,20070404,0150,AO2 ,-,SCT095                                       ,10SM   ,-,37,18,30,46  , 7   ,140,-,0  ,30.36,-,-,AA,-
03011,20070404,0250,AO2 ,-,SCT090                                       ,10SM   ,-,39,16,30,39  , 3   ,140,-,0  ,30.35,-,-,AA,-
03011,20070404,0350,AO2 ,-,OVC090                                       ,10SM   ,-,37,18,30,46  , 6   ,140,-,0  ,30.34,-,-,AA,-
03011,20070404,0450,AO2 ,-,OVC100                                       ,10SM   ,-,41,18,34,40  , 0   ,000,-,0  ,30.35,-,-,AA,-
03011,20070404,0550,AO2 ,-,OVC100                                       ,10SM   ,-,41,19,34,41  , 4   ,140,-,0  ,30.36,-,-,AA,-
03011,20070404,0650,AO2 ,-,BKN085 BKN100                                ,10SM   ,-,41,19,34,41  , 4   ,140,-,0  ,30.36,-,-,AA,-
03011,20070404,0750,AO2 ,-,BKN085                                       ,7SM    ,-,45,21,36,39  , 0   ,000,-,0  ,30.36,-,-,AA,-
03011,20070404,0850,AO2 ,-,BKN080                                       ,10SM   ,-,50,19,37,29  , 0   ,000,-,0  ,30.36,-,-,AA,-
03011,20070404,0950,AO2 ,-,SCT100 OVC120                                ,10SM   ,-,54,12,39,19  , 4   ,280,-,0  ,30.36,-,-,AA,-
03011,20070404,1050,AO2 ,-,SCT110                                       ,10SM   ,-,55,14,39,20  , 7   ,310,G,15 ,30.36,-,-,AA,-
03011,20070404,1150,AO2 ,-,BKN090 OVC110                                ,10SM   ,-,57,16,41,20  , 12  ,290,G,20 ,30.34,-,-,AA,-
03011,20070404,1250,AO2 ,-,BKN075 BKN090 OVC110                         ,10SM   ,-,55,14,39,20  , 5   ,310,G,15 ,30.33,-,-,AA,-
03011,20070404,1350,AO2 ,-,SCT080 BKN110                                ,10SM   ,-,57,16,41,20  , 10  ,280,G,15 ,30.31,-,-,AA,-
03011,20070404,1450,AO2 ,-,BKN080 OVC090                                ,10SM   ,-,57,14,41,18  , 7   ,290,-,0  ,30.30,-,-,AA,-
03011,20070404,1550,AO2 ,-,SCT050 BKN075 OVC090                         ,10SM   ,-,55,18,41,23  , 4   ,320,-,0  ,30.29,-,-,AA,-
03011,20070404,1650,AO2 ,-,SCT090                                       ,10SM   ,-,54,14,39,20  , 5   ,250,-,0  ,30.27,-,-,AA,-
03011,20070404,1750,AO2 ,-,CLR                                          ,10SM   ,-,55,14,39,20  , 8   ,290,G,14 ,30.27,-,-,AA,-
03011,20070404,1850,AO2 ,-,CLR                                          ,10SM   ,-,52,16,39,24  , 4   ,280,-,0  ,30.29,-,-,AA,-
03011,20070404,1950,AO2 ,-,SCT095                                       ,10SM   ,-,52,18,39,26  , 3   ,160,-,0  ,30.29,-,-,AA,-
03011,20070404,2050,AO2 ,-,CLR                                          ,10SM   ,-,45,21,36,39  , 5   ,140,-,0  ,30.30,-,-,AA,-
03011,20070404,2150,AO2 ,-,CLR                                          ,10SM   ,-,43,23,36,45  , 5   ,140,-,0  ,30.31,-,-,AA,-
03011,20070404,2250,AO2 ,-,CLR                                          ,10SM   ,-,43,23,36,45  , 5   ,140,-,0  ,30.31,-,-,AA,-
03011,20070404,2350,AO2 ,-,CLR                                          ,10SM   ,-,41,23,34,49  , 6   ,140,-,0  ,30.29,-,-,AA,-
03011,20070405,0050,AO2 ,-,BKN100                                       ,10SM   ,-,41,23,34,49  , 4   ,160,-,0  ,30.29,-,-,AA,-
03011,20070405,0150,AO2 ,-,OVC090                                       ,10SM   ,-,43,21,36,42  , 4   ,150,-,0  ,30.27,-,-,AA,-
03011,20070405,0250,AO2 ,-,SCT060 OVC080                                ,10SM   ,-,43,21,36,42  , 0   ,000,-,0  ,30.27,-,-,AA,-
03011,20070405,0350,AO2 ,-,BKN065 OVC075                                ,10SM   ,-,43,21,36,42  , 6   ,140,-,0  ,30.25,-,-,AA,-
03011,20070405,0450,AO2 ,-,BKN065 OVC080                                ,10SM   ,-,45,19,36,35  , 0   ,000,-,0  ,30.25,-,-,AA,-
03011,20070405,0550,AO2 ,-,SCT085 OVC110                                ,10SM   ,-,43,23,36,45  , 0   ,000,-,0  ,30.29,-,-,AA,-
03011,20070405,0650,AO2 ,-,SCT041 BKN048 OVC065                         ,10SM   ,-,43,27,37,53  , 0   ,000,-,0  ,30.31,-,-,AA,-
03011,20070405,0750,AO2 ,-,SCT048 SCT065 OVC090                         ,10SM   ,-,45,30,39,56  , 0   ,000,-,0  ,30.31,-,-,AA,-
03011,20070405,0850,AO2 ,-,OVC110                                       ,10SM   ,-,45,30,39,56  , 0   ,000,-,0  ,30.30,-,-,AA,-
03011,20070405,0950,AO2 ,-,CLR                                          ,10SM   ,-,50,23,39,35  , 7   ,280,-,0  ,30.30,-,-,AA,-
03011,20070405,1050,AO2 ,-,BKN070 BKN080                                ,10SM   ,-,52,27,43,38  , 5   ,010,-,0  ,30.30,-,-,AA,-
03011,20070405,1150,AO2 ,-,SCT060 BKN080                                ,10SM   ,-,52,23,39,32  , 7   ,010,-,0  ,30.29,-,-,AA,-
03011,20070405,1250,AO2 ,-,SCT070 SCT085 BKN100                         ,10SM   ,-,54,21,41,28  , 6   ,020,G,18 ,30.29,-,-,AA,-
03011,20070405,1350,AO2 ,-,SCT043 BKN065 OVC075                         ,10SM   ,-,54,23,41,30  , 7   ,300,G,14 ,30.29,-,-,AA,-
03011,20070405,1450,AO2 ,-,SCT060                                       ,10SM   ,-,54,21,41,28  , 5   ,020,-,0  ,30.27,-,-,AA,-
03011,20070405,1550,AO2 ,-,BKN075                                       ,10SM   ,-,54,21,41,28  , 6   ,010,-,0  ,30.27,-,-,AA,-
03011,20070405,1650,AO2 ,-,SCT070                                       ,10SM   ,-,54,21,41,28  , 4   ,020,-,0  ,30.26,-,-,AA,-
03011,20070405,1750,AO2 ,-,CLR                                          ,10SM   ,-,52,21,39,30  , 0   ,000,-,0  ,30.27,-,-,AA,-
03011,20070405,1850,AO2 ,-,CLR                                          ,10SM   ,-,50,19,37,29  , 0   ,000,-,0  ,30.27,-,-,AA,-
03011,20070405,1950,AO2 ,-,CLR                                          ,10SM   ,-,46,19,36,34  , 0   ,000,-,0  ,30.30,-,-,AA,-
03011,20070405,2050,AO2 ,-,CLR                                          ,10SM   ,-,45,23,37,42  , 0   ,000,-,0  ,30.32,-,-,AA,-
03011,20070405,2150,AO2 ,-,CLR                                          ,10SM   ,-,41,25,36,53  , 5   ,150,-,0  ,30.32,-,-,AA,-
03011,20070405,2250,AO2 ,-,CLR                                          ,10SM   ,-,39,23,34,53  , 5   ,120,-,0  ,30.33,-,-,AA,-
03011,20070405,2350,AO2 ,-,CLR                                          ,10SM   ,-,37,25,34,62  , 5   ,140,-,0  ,30.33,-,-,AA,-
03011,20070406,0050,AO2 ,-,CLR                                          ,10SM   ,-,37,23,32,57  , 4   ,150,-,0  ,30.31,-,-,AA,-
03011,20070406,0150,AO2 ,-,CLR                                          ,10SM   ,-,36,23,30,59  , 4   ,130,-,0  ,30.29,-,-,AA,-
03011,20070406,0250,AO2 ,-,CLR                                          ,10SM   ,-,36,23,30,59  , 5   ,140,-,0  ,30.27,-,-,AA,-
03011,20070406,0350,AO2 ,-,CLR                                          ,10SM   ,-,36,21,30,55  , 6   ,150,-,0  ,30.27,-,-,AA,-
03011,20070406,0450,AO2 ,-,CLR                                          ,10SM   ,-,36,19,30,50  , 5   ,130,-,0  ,30.25,-,-,AA,-
03011,20070406,0550,AO2 ,-,CLR                                          ,10SM   ,-,36,18,30,48  , 0   ,000,-,0  ,30.26,-,-,AA,-
03011,20070406,0650,AO2 ,-,CLR                                          ,10SM   ,-,36,18,30,48  , 5   ,120,-,0  ,30.27,-,-,AA,-
03011,20070406,0750,AO2 ,-,CLR                                          ,10SM   ,-,41,19,34,41  , 0   ,000,-,0  ,30.26,-,-,AA,-
03011,20070406,0850,AO2 ,-,CLR                                          ,10SM   ,-,48,14,36,25  , 4   ,140,-,0  ,30.24,-,-,AA,-
03011,20070406,0950,AO2 ,-,CLR                                          ,10SM   ,-,52,18,39,26  , 0   ,000,-,0  ,30.23,-,-,AA,-
03011,20070406,1050,AO2 ,-,CLR                                          ,10SM   ,-,55,14,39,20  , 8   ,280,-,0  ,30.22,-,-,AA,-
03011,20070406,1150,AO2 ,-,CLR                                          ,10SM   ,-,55,10,39,16  , 0   ,000,-,0  ,30.20,-,-,AA,-
03011,20070406,1250,AO2 ,-,SCT120                                       ,10SM   ,-,55,14,39,20  , 7   ,290,-,0  ,30.17,-,-,AA,-
03011,20070406,1350,AO2 ,-,SCT120                                       ,10SM   ,-,59,12,43,16  , 7   ,270,-,0  ,30.15,-,-,AA,-
03011,20070406,1450,AO2 ,-,SCT120                                       ,10SM   ,-,57,10,39,15  , 10  ,280,G,17 ,30.14,-,-,AA,-
03011,20070406,1550,AO2 ,-,BKN120                                       ,10SM   ,-,57,1,39,10  , 10  ,280,G,16 ,30.12,-,-,AA,-
03011,20070406,1650,AO2 ,-,BKN110                                       ,10SM   ,-,55,5,37,13  , 9   ,290,G,17 ,30.12,-,-,AA,-
03011,20070406,1750,AO2 ,-,BKN090 BKN110                                ,10SM   ,-,54,10,37,17  , 6   ,270,-,0  ,30.11,-,-,AA,-
03011,20070406,1850,AO2 ,-,SCT060 OVC075                                ,10SM   ,-,52,14,37,22  , 5   ,260,-,0  ,30.10,-,-,AA,-
03011,20070406,1950,AO2 ,-,SCT100 BKN110                                ,10SM   ,-,50,18,37,28  , 6   ,280,-,0  ,30.11,-,-,AA,-
03011,20070406,2050,AO2 ,-,BKN090 OVC120                                ,10SM   ,-,48,18,37,30  , 0   ,000,-,0  ,30.10,-,-,AA,-
03011,20070406,2150,AO2 ,-,SCT090 OVC110                                ,10SM   ,-,46,19,36,34  , 0   ,000,-,0  ,30.10,-,-,AA,-
03011,20070406,2250,AO2 ,-,BKN100 OVC120                                ,10SM   ,-,45,23,37,42  , 4   ,120,-,0  ,30.10,-,-,AA,-
03011,20070406,2350,AO2 ,-,BKN090 BKN110                                ,10SM   ,-,43,21,36,42  , 0   ,000,-,0  ,30.08,-,-,AA,-
03011,20070407,0050,AO2 ,-,OVC090                                       ,10SM   ,-,43,25,36,49  , 5   ,140,-,0  ,30.06,-,-,AA,-
03011,20070407,0150,AO2 ,-,SCT080 OVC090                                ,10SM   ,-,43,25,36,49  , 3   ,130,-,0  ,30.04,-,-,AA,-
03011,20070407,0250,AO2 ,-,SCT080 OVC100                                ,10SM   ,-,43,27,37,53  , 4   ,150,-,0  ,30.03,-,-,AA,-
03011,20070407,0350,AO2 ,-,BKN075 BKN090 OVC110                         ,10SM   ,-,41,27,36,58  , 4   ,160,-,0  ,30.01,-,-,AA,-
03011,20070407,0450,AO2 ,-,SCT041 BKN050 OVC060                         ,10SM   ,-,41,27,36,58  , 0   ,000,-,0  ,30.02,-,-,AA,-
03011,20070407,0550,AO2 ,-,SCT048 OVC060                                ,10SM   ,-,43,27,37,53  , 0   ,000,-,0  ,30.02,-,-,AA,-
03011,20070407,0650,AO2 ,-,OVC050                                       ,10SM   ,-,43,28,37,56  , 4   ,090,-,0  ,30.02,-,-,AA,-
03011,20070407,0750,AO2 ,-,SCT020 BKN030 OVC050                         ,10SM   ,-,41,32,37,70  , 0   ,000,-,0  ,30.04,-,-,AA,-
03011,20070407,0850,AO2 ,-,OVC036                                       ,10SM   ,-,43,32,37,65  , 0   ,000,-,0  ,30.03,-,-,AA,-
03011,20070407,0950,AO2 ,-,SCT028 BKN041 OVC075                         ,10SM   ,-,45,32,39,60  , 0   ,000,-,0  ,30.03,-,-,AA,-
03011,20070407,1050,AO2 ,-,BKN038 BKN047 OVC050                         ,10SM   ,-,46,32,39,58  , 4   ,210,-,0  ,30.00,-,-,AA,-
03011,20070407,1150,AO2 ,-,SCT018 BKN050 OVC100                         ,10SM   ,-,43,36,39,76  , 3   ,160,-,0  ,29.99,-,-,AA,-
03011,20070407,1250,AO2 ,-,SCT012 BKN019 OVC050                         ,7SM    ,-TSRA               ,43,36,39,76  , 0   ,000,-,0  ,29.98,-,-,AA,-
03011,20070407,1350,AO2 ,-,SCT032 OVC039                                ,10SM   ,-TSRA               ,46,34,41,63  , 5   ,310,G,14 ,29.95,-,-,AA,-
03011,20070407,1450,AO2 ,-,SCT055 BKN095                                ,10SM   ,-,50,32,43,50  , 9   ,250,G,17 ,29.94,-,-,AA,-
03011,20070407,1550,AO2 ,-,SCT065 SCT075 BKN110                         ,10SM   ,-,50,27,39,41  , 9   ,270,G,17 ,29.93,-,-,AA,-
03011,20070407,1650,AO2 ,-,BKN060 OVC075                                ,10SM   ,-,46,32,39,58  , 4   ,020,-,0  ,29.93,-,-,AA,-
03011,20070407,1750,AO2 ,-,SCT050 BKN065 OVC090                         ,10SM   ,-,46,28,39,50  , 4   ,290,-,0  ,29.93,-,-,AA,-
03011,20070407,1850,AO2 ,-,SCT065 BKN080 OVC095                         ,10SM   ,-,48,27,39,44  , 0   ,000,-,0  ,29.93,-,-,AA,-
03011,20070407,1950,AO2 ,-,BKN065 BKN075 OVC095                         ,10SM   ,-,46,30,39,54  , 0   ,000,-,0  ,29.95,-,-,AA,-
03011,20070407,2050,AO2 ,-,SCT042 BKN055 OVC070                         ,10SM   ,-,45,28,37,51  , 0   ,000,-,0  ,29.97,-,-,AA,-
03011,20070407,2150,AO2 ,-,OVC070                                       ,10SM   ,-,45,30,39,56  , 0   ,000,-,0  ,29.98,-,-,AA,-
03011,20070407,2250,AO2 ,-,SCT036 BKN044 OVC060                         ,10SM   ,-,43,30,37,60  , 7   ,040,-,0  ,29.98,-,-,AA,-
03011,20070407,2350,AO2 ,-,SCT060 SCT075 BKN095                         ,10SM   ,-,41,32,37,70  , 7   ,100,-,0  ,29.98,-,-,AA,-
03011,20070408,0050,AO2 ,-,OVC050                                       ,10SM   ,-,41,32,37,70  , 5   ,140,-,0  ,29.97,-,-,AA,-
03011,20070408,0150,AO2 ,-,OVC050                                       ,10SM   ,-,41,32,37,70  , 5   ,130,-,0  ,29.95,-,-,AA,-
03011,20070408,0250,AO2 ,-,SCT023 BKN034 OVC041                         ,10SM   ,DZ                  ,43,32,37,65  , 9   ,270,G,16 ,29.96,-,-,AA,-
03011,20070408,0350,AO2 ,-,SCT029 BKN038 OVC044                         ,10SM   ,-,41,34,37,76  , 0   ,000,-,0  ,29.96,-,-,AA,-
03011,20070408,0450,AO2 ,-,SCT032 SCT039 OVC050                         ,10SM   ,-,39,36,37,89  , 5   ,130,-,0  ,29.95,-,-,AA,-
03011,20070408,0550,AO2 ,-,SCT045 SCT060 OVC090                         ,10SM   ,-,37,34,36,89  , 4   ,140,-,0  ,29.95,-,-,AA,-
03011,20070408,0651,AO2 ,-,SCT007 BKN025 OVC044                         ,5SM    ,RA                  ,37,34,36,89  , 6   ,270,-,0  ,29.98,-,-,AA,-
03011,20070408,0750,AO2 ,-,BKN001 OVC011                                ,3/4SM  ,-SN                 ,36,34,36,92  , 0   ,000,-,0  ,29.96,-,-,AA,.04
03011,20070408,0950,AO2 ,-,BKN023 OVC029                                ,10SM   ,-,37,36,37,96  , 5   ,150,-,0  ,29.98,-,-,AA,-
03011,20070408,1050,AO2 ,-,OVC021                                       ,10SM   ,-,37,36,37,96  , 0   ,000,-,0  ,29.98,-,-,AA,-
03011,20070408,1150,AO2 ,-,SCT004 BKN010 OVC021                         ,2 1/2SM,-RA                 ,37,36,37,96  , 6   ,260,-,0  ,29.98,-,-,AA,.01
03011,20070408,1250,AO2 ,-,SCT018 OVC024                                ,5SM    ,RA                  ,41,37,39,86  , 0   ,000,-,0  ,29.96,-,-,AA,-
03011,20070408,1350,AO2 ,-,SCT011 BKN015 OVC037                         ,10SM   ,-VCTSRA             ,41,37,39,86  , 3   ,200,-,0  ,29.94,-,-,AA,-
03011,20070408,1450,AO2 ,-,BKN009 OVC015                                ,2SM    ,VCTSRA              ,39,36,37,89  , 7   ,260,G,15 ,29.95,-,-,AA,-
03011,20070408,1550,AO2 ,-,OVC007                                       ,1 1/4SM,-VCTSSN             ,36,34,36,92  , 0   ,000,-,0  ,29.93,-,-,AA,-
03011,20070408,1650,AO2 ,-,OVC001                                       ,M1/4SM ,+TSSN               ,36,34,36,92  , 9   ,280,G,17 ,29.99,-,-,AA,-
03011,20070408,1750,AO2 ,-,OVC005                                       ,3/4SM  ,-SN                 ,34,34,34,100 , 5   ,110,-,0  ,29.96,-,-,AA,-
03011,20070408,1850,AO2 ,-,SCT009 BKN031 OVC047                         ,5SM    ,-SN                 ,36,34,36,92  , 0   ,000,-,0  ,29.96,-,-,AA,-
03011,20070408,1950,AO2 ,-,BKN029 BKN050 BKN110                         ,10SM   ,-,36,34,36,92  , 5   ,130,-,0  ,29.97,-,-,AA,-
03011,20070408,2050,AO2 ,-,BKN031 BKN043 OVC065                         ,10SM   ,-,36,34,36,92  , 4   ,170,-,0  ,29.98,-,-,AA,-
